slug	radius	radius-lg	radius-pill	border-w	grad-angle	shadow-out	shadow-in	elev-1	elev-2	elev-3	motion-fast	motion-med	ease	lift
sharp	4px	6px	6px	1.5px	120deg	0 1px 2px rgba(0,0,0,0.55), 0 2px 6px rgba(0,0,0,0.35)	inset 0 2px 4px rgba(0,0,0,0.5)	0 1px 3px rgba(0,0,0,0.42)	0 5px 14px rgba(0,0,0,0.46)	0 14px 32px rgba(0,0,0,0.52)	120ms	200ms	cubic-bezier(.2,.7,.2,1)	-2px
soft	8px	12px	8px	1px	135deg	0 2px 8px rgba(0,0,0,0.22), 0 8px 20px rgba(0,0,0,0.14)	inset 0 1px 4px rgba(0,0,0,0.24)	0 2px 8px rgba(0,0,0,0.26)	0 9px 24px rgba(0,0,0,0.30)	0 22px 50px rgba(0,0,0,0.38)	150ms	260ms	cubic-bezier(.16,1,.3,1)	-3px
grounded	12px	18px	10px	1px	150deg	0 1px 3px rgba(0,0,0,0.3), 0 4px 12px rgba(0,0,0,0.18)	inset 0 1px 3px rgba(0,0,0,0.28)	0 3px 12px rgba(0,0,0,0.30)	0 11px 28px rgba(0,0,0,0.34)	0 26px 58px rgba(0,0,0,0.42)	130ms	240ms	cubic-bezier(.2,.8,.2,1)	-3px
eos	3px	5px	5px	1px	120deg	0 1px 2px rgba(0,0,0,0.6), 0 2px 6px rgba(0,0,0,0.4)	inset 0 1px 3px rgba(0,0,0,0.55)	0 1px 3px rgba(0,0,0,0.45)	0 5px 14px rgba(0,0,0,0.5)	0 14px 32px rgba(0,0,0,0.56)	90ms	160ms	cubic-bezier(.2,.7,.2,1)	-1px
papyrus	0px	4px	4px	1px	135deg	0 1px 3px rgba(0,0,0,0.12)	inset 0 1px 2px rgba(0,0,0,0.10)	0 1px 3px rgba(0,0,0,0.12)	0 4px 10px rgba(0,0,0,0.14)	0 10px 24px rgba(0,0,0,0.18)	140ms	220ms	cubic-bezier(.2,.8,.2,1)	-2px
